problem_type,M_strategy,n_bits,layers,vseed,eta_req,eta_eff,d_eta,M_star,s_conv,norm_final,gap_pen,beta_pred,beta_fit,beta_ratio,se_beta,rel_se,z_beta,D_therm,D_pred,D_unif,R_therm,R_pred,D_shape,D_shell,R_shape,n_levels,entropy_bits,n_eff_states,p_max,E_min,E_mean,E_sd,contrast,n_shots,n_cells,G2_therm,p_therm,dG2_unif,p_vs_unif,n_shots_detect,beta_identified,verdict
TSP_rand,feasibility,9,5,42,0.75,0.8401363209062864,1.4210854715202004e-14,2335391928.208992,615707454.706882,7.586044022548972,3.793022011274486,0.5185185185185185,0.535595150814873,1.0329335051429693,0.009588310211785687,0.017902160236510173,1.780984544634815,0.20590335475879612,0.2075339039992043,3.458388195599036,0.9404626250399484,0.9399911484016453,0.20581792825686757,8.542650192855383e-05,0.940485856213624,83,4.010600500740354,16.117996285416524,0.14002272015105016,0.0066666628260236335,1.7592072561894394,4.973791137095734,2.6639384141944684,1000,12,109.32116577147418,7.312249818263676e-19,6728.166448215946,0.0,167.4610577383004,True,near-thermal (small but resolvable deviation)
TSP_rand,feasibility,9,5,43,0.75,0.8401362714571462,1.099120794378905e-14,1530495965.3294644,403503054.10658824,7.5860440200047305,3.7930220100023653,0.5185185185185185,0.5355951328180707,1.0329334704348507,0.009588309873425313,0.017902160206303145,1.7809827305311925,0.20590336152717262,0.20753390739417427,3.4583880561582934,0.9404626206823367,0.9399911450004512,0.20581793320023067,8.542832694194424e-05,0.940485852353154,83,4.01060070191079,16.117998532921685,0.14002271190952637,0.006666660816127087,1.7592074929886337,4.973791053382944,2.6639382798459694,1000,12,109.3279715984638,7.2891896486831185e-19,6728.16329639972,0.0,167.45063304121877,True,near-thermal (small but resolvable deviation)
TSP_rand,feasibility,9,5,44,0.75,0.8401362460009313,1.2545520178264269e-14,1619280559.5928802,426910404.1267579,7.5860440220711265,3.7930220110355632,0.5185185185185185,0.5355951233080456,1.032933452094088,0.009588309694764818,0.01790216019060005,1.7809817718811136,0.20590336504876544,0.20753390913319347,3.4583879843412992,0.9404626184277057,0.9399911432514645,0.2058179357831901,8.542926557533748e-05,0.9404858503542113,83,4.010600805520809,16.11799969046791,0.14002270766682412,0.006666661136595181,1.7592076171439799,4.973791012826254,2.6639382108231264,1000,12,109.33102931052356,7.278852863783729e-19,6728.17515667972,0.0,167.44594987100356,True,near-thermal (small but resolvable deviation)
TSP_rand,feasibility,9,5,45,0.75,0.8401362840330078,1.2878587085651816e-14,2080559450.6091437,548522904.5406197,7.58604402254299,3.793022011271495,0.5185185185185185,0.535595137256159,1.032933478994021,0.009588309956934257,0.01790216021387897,1.7809831778843104,0.20590335984144031,0.2075339065403577,3.458388091597473,0.9404626217798677,0.9399911458622635,0.20581793197904175,8.542786239856826e-05,0.9404858533241414,83,4.010600650782836,16.117997961712764,0.14002271400550365,0.006666662357632145,1.7592074343284096,4.97379107616901,2.6639383141242,1000,12,109.3264972715841,7.294178938162577e-19,6728.165562579825,0.0,167.45289120347107,True,near-thermal (small but resolvable deviation)
TSP_rand,feasibility,9,5,46,0.75,0.8401362262546356,1.587618925213974e-14,1477666944.4981961,389575104.02098966,7.586044022046039,3.7930220110230195,0.5185185185185185,0.5355951160501196,1.0329334380966593,0.00958830955833862,0.017902160178475884,1.7809810402658666,0.20590336773624968,0.20753391046023204,3.458387928645358,0.9404626166917887,0.9399911419013302,0.20581793774289678,8.542999335289791e-05,0.9404858488165446,83,4.010600885873097,16.118000588175427,0.14002270437577546,0.006666660608425504,1.7592077122117014,4.973790980083985,2.6639381571871197,1000,12,109.29160792104841,7.4132487662084795e-19,6728.18805841505,0.0,167.5063474818674,True,near-thermal (small but resolvable deviation)
TSP_rand,feasibility,9,5,47,0.75,0.8401362933596179,1.3211653993039363e-14,2211584276.0540543,583066554.6450142,7.586044023398061,3.7930220116990303,0.5185185185185185,0.5355951406246935,1.0329334854904804,0.00958831002029593,0.017902160219587817,1.7809835174319855,0.20590335855947106,0.20753390588980164,3.458388117899941,0.940462622603358,0.9399911465067652,0.20581793104127846,8.542751819259897e-05,0.9404858540538685,83,4.010600612836474,16.11799753777052,0.14002271555993864,0.006666662611726324,1.7592073896149367,4.973791092171547,2.6639383394494676,1000,12,109.32511611458214,7.298856023682856e-19,6728.166627288348,0.0,167.45500671673466,True,near-thermal (small but resolvable deviation)
TSP_rand,feasibility,9,5,48,0.75,0.8401362948524804,1.176836406102666e-14,2409967482.49745,635368704.7794521,7.586044022530172,3.793022011265086,0.5185185185185185,0.5355951412333061,1.0329334866642332,0.009588310031666238,0.017902160220474358,1.7809835787944437,0.20590335836658386,0.20753390581099795,3.4583881221040658,0.9404626227315073,0.9399911466025,0.2058179309035223,8.542746306156035e-05,0.9404858541669998,83,4.010600606771101,16.1179974700073,0.1400227158087488,0.006666662944109465,1.7592073825463066,4.973791094149901,2.663938343536176,1000,12,109.32525697949748,7.298378868218478e-19,6728.165052422257,0.0,167.45479095199744,True,near-thermal (small but resolvable deviation)
TSP_rand,feasibility,9,5,49,0.75,0.8401362508242396,1.3988810110276972e-14,2050647868.483793,540636954.4500003,7.586044023091074,3.793022011545537,0.5185185185185185,0.5355951250039901,1.0329334553648382,0.009588309726658644,0.01790216019346183,1.7809819428332647,0.20590336443289906,0.20753390883523648,3.458387997924051,0.9404626188396167,0.939991143573303,0.20581793534532206,8.542908757699919e-05,0.9404858507176345,83,4.01060078592502,16.1179994715409,0.1400227084707092,0.006666662295896259,1.75920759528619,4.9737910217515,2.663938224038718,1000,12,109.32884140521645,7.286247722300265e-19,6728.167047429994,0.0,167.44930082467386,True,near-thermal (small but resolvable deviation)
TSP_rand,feasibility,9,5,50,0.75,0.8401362488551445,1.532107773982716e-14,1914256106.771063,504678354.34852225,7.586044022998103,3.7930220114990516,0.5185185185185185,0.5355951242879643,1.0329334539839312,0.009588309713194758,0.01790216019225667,1.780981870657159,0.20590336467522158,0.20753390894334572,3.458387992370784,0.9404626186739472,0.9399911434456845,0.20581793551556998,8.542915965159548e-05,0.9404858505715988,83,4.010600793936743,16.11799956104904,0.14002270814252674,0.0066666619858170495,1.7592076044501366,4.973791018341791,2.663938218651132,1000,12,109.29556292820419,7.399654233647105e-19,6728.183406181476,0.0,167.50028603906793,True,near-thermal (small but resolvable deviation)
TSP_rand,feasibility,9,5,51,0.75,0.8401362123455924,1.3766765505351941e-14,2255364663.084038,594608904.6057419,7.58604402192553,3.793022010962765,0.5185185185185185,0.5355951109322648,1.0329334282265106,0.009588309462031562,0.017902160169725987,1.7809805243945567,0.20590336974668502,0.20753391151139383,3.4583878893682116,0.940462615434297,0.9399911409158599,0.20581793924049885,8.543050618617376e-05,0.9404858476987509,83,4.010600942538016,16.118001221244224,0.14002270205760117,0.006666662690879791,1.7592077818611576,4.973790957605943,2.6639381196928507,1000,12,109.2942208913999,7.404264419613898e-19,6728.186528966832,0.0,167.50234279510462,True,near-thermal (small but resolvable deviation)
