problem_type,n_bits,layers,vseed,eta_eff,n_1qb,n_2qb,shots,HQC,cost_usd
TSP_rand,9,20,51,0.9969821996155258,226,720,100,155.32,2318.2089552238804
TSP_rand,16,5,42,0.5654728759988068,140,360,100,83.0,1238.8059701492539
TSP_rand,16,5,43,0.5654728760342186,140,368,100,84.6,1262.686567164179
TSP_rand,16,5,44,0.565472875925104,140,344,100,79.8,1191.044776119403
TSP_rand,16,5,45,0.5654728757351094,140,344,100,79.8,1191.044776119403
TSP_rand,16,5,46,0.5654728757879506,140,360,100,83.0,1238.8059701492539
TSP_rand,16,5,47,0.5654728755987567,140,352,100,81.4,1214.9253731343285
TSP_rand,16,5,48,0.5654743948761759,140,352,100,81.4,1214.9253731343285
TSP_rand,16,5,49,0.5654728757876591,140,344,100,79.8,1191.044776119403
TSP_rand,16,5,50,0.5654728759347883,140,344,100,79.8,1191.044776119403
TSP_rand,16,5,51,0.5654728757310555,140,352,100,81.4,1214.9253731343285
TSP_rand,16,10,42,0.9573038933957184,234,760,100,164.88,2460.89552238806
TSP_rand,16,10,43,0.9573038988696613,234,784,100,169.68,2532.537313432836
TSP_rand,16,10,44,0.9573038938015767,234,768,100,166.48,2484.776119402985
TSP_rand,16,10,45,0.957303880032805,234,760,100,164.88,2460.89552238806
TSP_rand,16,10,46,0.9573038790583804,234,752,100,163.28,2437.0149253731342
TSP_rand,16,10,47,0.9573038688427832,234,736,100,160.08,2389.253731343284
TSP_rand,16,10,48,0.9556884280146231,234,736,100,160.08,2389.253731343284
TSP_rand,16,10,49,0.9573038836419975,234,768,100,166.48,2484.776119402985
TSP_rand,16,10,50,0.9573038948420145,234,760,100,164.88,2460.89552238806
TSP_rand,16,10,51,0.9573038772913036,234,744,100,161.68,2413.134328358209
TSP_rand,16,20,42,0.9973376636384285,450,1568,100,330.8,4937.313432835821
TSP_rand,16,20,43,0.9973376662132414,450,1584,100,334.0,4985.074626865672
TSP_rand,16,20,44,0.9973376599711448,450,1568,100,330.8,4937.313432835821
TSP_rand,16,20,45,0.997337643439522,450,1560,100,329.2,4913.432835820896
TSP_rand,16,20,46,0.9973376455657902,450,1560,100,329.2,4913.432835820896
TSP_rand,16,20,47,0.9973376324308,450,1504,100,318.0,4746.268656716418
TSP_rand,16,20,48,0.9973401471426935,450,1512,100,319.6,4770.149253731343
TSP_rand,16,20,49,0.9973376486073012,450,1568,100,330.8,4937.313432835821
TSP_rand,16,20,50,0.9973376613669759,450,1552,100,327.6,4889.552238805971
TSP_rand,16,20,51,0.997337641814195,450,1552,100,327.6,4889.552238805971
